threshold,precision,recall,f1,accuracy
0.0,0.05,1.0,0.09,0.05
0.06,0.08,0.38,0.13,0.75
0.11,0.08,0.38,0.14,0.77
0.17,0.09,0.38,0.15,0.79
0.22,0.1,0.38,0.15,0.8
0.28,0.08,0.28,0.12,0.8
0.33,0.08,0.28,0.13,0.82
0.39,0.09,0.28,0.13,0.82
0.44,0.09,0.28,0.13,0.83
0.5,0.08,0.24,0.12,0.83
0.56,0.07,0.21,0.11,0.84
0.61,0.07,0.21,0.11,0.84
0.67,0.08,0.21,0.11,0.84
0.72,0.08,0.21,0.12,0.85
0.78,0.1,0.21,0.13,0.87
0.83,0.11,0.21,0.14,0.88
0.89,0.11,0.14,0.12,0.9
0.94,0.13,0.14,0.14,0.92
1.0,0.0,0.0,0.0,0.95
