threshold,precision,recall,f1,accuracy
0.0,0.05,1.0,0.09,0.05
0.05,0.12,0.66,0.2,0.75
0.1,0.12,0.66,0.2,0.75
0.15,0.12,0.66,0.2,0.75
0.2,0.12,0.66,0.2,0.75
0.25,0.12,0.66,0.2,0.75
0.3,0.11,0.52,0.19,0.78
0.35,0.11,0.52,0.19,0.78
0.4,0.11,0.52,0.19,0.78
0.45,0.11,0.52,0.19,0.78
0.5,0.11,0.52,0.19,0.78
0.55,0.12,0.45,0.19,0.81
0.6,0.12,0.45,0.19,0.81
0.65,0.12,0.45,0.19,0.81
0.7,0.12,0.45,0.19,0.81
0.75,0.12,0.45,0.19,0.81
0.8,0.15,0.41,0.22,0.86
0.85,0.15,0.41,0.22,0.86
0.9,0.15,0.41,0.22,0.86
0.95,0.15,0.41,0.22,0.86
1.0,0.15,0.41,0.22,0.86
