threshold,precision,recall,f1,accuracy
0.0,0.05,1.0,0.09,0.05
0.05,0.06,0.97,0.12,0.3
0.1,0.07,0.93,0.13,0.39
0.15,0.08,0.93,0.14,0.46
0.2,0.08,0.93,0.15,0.5
0.25,0.09,0.93,0.16,0.53
0.3,0.09,0.93,0.17,0.56
0.35,0.1,0.9,0.18,0.6
0.4,0.1,0.86,0.18,0.62
0.45,0.11,0.86,0.2,0.66
0.5,0.12,0.86,0.21,0.68
0.55,0.12,0.83,0.22,0.71
0.6,0.13,0.79,0.23,0.74
0.65,0.15,0.79,0.25,0.77
0.7,0.17,0.79,0.27,0.8
0.75,0.19,0.69,0.29,0.84
0.8,0.19,0.62,0.3,0.86
0.85,0.19,0.45,0.27,0.88
0.9,0.28,0.38,0.32,0.92
0.95,0.36,0.17,0.23,0.94
1.0,0.0,0.0,0.0,0.95
